cost_estimate,latitude,longitude,borough,job_type,permit_type,job_number,bin_number,square_footage,permit_issuance_date,job_location_house_number,job_location_street_name,proposed_occupancy_class,proposed_stories,proposed_dwelling_units
282680,40.55688095,-73.92073059,Queens,NB,New Building,421619485,4466603,1910,10/18/2018,187,BEDFORD AVENUE,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,1
423280,40.55688095,-73.92073059,Queens,NB,New Building,421642084,4618615,2860,10/18/2018,107,BEACH 219 STREET,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,1
932400,40.62432098,-73.94226074,Brooklyn,NB,New Building,320913990,3208920,6300,10/18/2018,1281,EAST 34 STREET,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,1
29600,40.62432098,-73.94226074,Brooklyn,NB,New Building,320916666,3208920,200,10/18/2018,1281,EAST 34 STREET,UTILITY / MISCELLANEOUS,1,
316629,40.62475967,-73.95355225,Brooklyn,A1,ALT 1 Enlargement,321232368,3254329,404,10/18/2018,1052,EAST 23 STREET,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,1
926924,40.65877914,-73.9526062,Brooklyn,NB,New Building,321533818,3426771,6263,10/18/2018,293,FENIMORE STREET,RESIDENTIAL: APARTMENT HOUSES,4,8
1632440,40.69432068,-73.96868896,Brooklyn,NB,New Building,320943495,3835080,11030,10/18/2018,123,CLINTON AVE,RESIDENTIAL: APARTMENT HOUSES,4,9
5242300,40.73313904,-73.95588684,Brooklyn,A1,ALT 1 Enlargement,321186499,3064155,0,10/18/2018,139,HURON STREET,RESIDENTIAL: APARTMENT HOUSES,4,9
17500,40.57561111,-74.00222778,Brooklyn,A1,ALT 1 Enlargement,321184464,3255421,727,10/19/2018,2864,WEST 36TH STREET,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,1
150000,40.57567978,-74.00224304,Brooklyn,A1,ALT 1 Enlargement,321188004,3188697,740,10/19/2018,2860,WEST 36TH STREET,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,1
800000,40.62535858,-73.96302795,Brooklyn,A1,ALT 1 Enlargement,321743752,3179572,5362,10/19/2018,1309,AVENUE J,BUSINESS,2,
1970620,40.64836121,-73.95778656,Brooklyn,NB,New Building,320625230,3425582,13315,10/19/2018,949,FLATBUSH AVENUE,BUSINESS,5,
156584,40.8105011,-73.80238342,Bronx,NB,New Building,210177976,2079316,1058,10/19/2018,3089,ALAN PLACE,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
1250000,40.8645401,-73.86477661,Bronx,A1,ALT 1 Enlargement,220619953,2051401,0,10/19/2018,2513,WALLACE AVENUE,RESIDENTIAL: APARTMENT HOUSES,4,8
418678,40.61862183,-73.96768951,Brooklyn,A1,ALT 1 Enlargement,321501424,3171859,987,10/22/2018,1325,EAST 7 STREET,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
475461,40.61917114,-73.95249939,Brooklyn,A1,ALT 1 Enlargement,320456500,3254425,1637,10/22/2018,1286,EAST 23 STREET,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
426240,40.62937164,-74.14337921,Staten Island,NB,New Building,520337190,5170842,2880,10/22/2018,456,VILLA AVENUE,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,1
549500,40.63740921,-73.98444366,Brooklyn,A1,ALT 1 Enlargement,321584647,3124835,1477,10/22/2018,1438,41 STREET,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,2
1161600,40.6846199,-73.98445129,Brooklyn,A1,ALT 1 Enlargement,321052203,3001397,1040,10/22/2018,229,BERGEN STREET,RESIDENTIAL: 1 & 2 FAMILY HOUSES,4,1
235350,40.68611145,-73.98953247,Brooklyn,A1,ALT 1 Enlargement,321675567,3005788,642,10/22/2018,108,BERGEN STREET,RESIDENTIAL: 1 & 2 FAMILY HOUSES,4,1
636500,40.6875,-73.97596741,Brooklyn,A1,ALT 1 Enlargement,321408945,3058764,1088,10/22/2018,80,SOUTH ELLIOTT PLACE,RESIDENTIAL: APARTMENT HOUSES,4,3
10356004,40.72148895,-73.98513031,Manhattan,NB,New Building,121189711,1090485,69973,10/22/2018,255,EAST HOUSTON STREET,RESIDENTIAL: APARTMENT HOUSES,13,88
96000,40.72230148,-73.77001953,Queens,A1,ALT 1 Enlargement,421532336,4224116,0,10/22/2018,196-19,COMO AVE,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
7331476,40.72243118,-73.95072937,Brooklyn,NB,New Building,321197389,3426090,49537,10/22/2018,848,LORIMER STREET,RESIDENTIAL: APARTMENT HOUSES,6,52
6405588,40.74617004,-73.94090271,Queens,NB,New Building,421094096,4595591,43281,10/22/2018,28-27,THOMSON AVENUE,RESIDENTIAL: APARTMENT HOUSES,11,49
9580632,40.74829865,-73.99339294,Manhattan,NB,New Building,122753635,1090716,64734,10/22/2018,211,WEST 29TH STREET,"RESIDENTIAL: HOTELS, DORMITORIES",23,55
1733425,40.76485062,-73.96994019,Manhattan,A1,ALT 1 Enlargement,120870156,1040852,3664,10/22/2018,27,EAST 61ST STREET,BUSINESS,6,0
650000,40.61680984,-73.9797287,Brooklyn,A1,ALT 1 Enlargement,320891898,3132345,1962,10/23/2018,2153,61 STREET,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,1
1709000,40.7154007,-73.96489716,Brooklyn,A1,ALT 1 Enlargement,321184945,3330366,0,10/23/2018,57,SOUTH 1 STREET,MERCANTILE,2,1
5240000,40.7154007,-73.96489716,Brooklyn,A1,ALT 1 Enlargement,321195737,3426547,16735,10/23/2018,320,WYTHE AVENUE,BUSINESS,3,0
931465,40.71572876,-73.81941223,Queens,A1,ALT 1 Enlargement,421649522,4143634,4563,10/23/2018,81-05,139TH STREET,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,1
13002096,40.72465134,-74.0065918,Manhattan,NB,New Building,121186563,1090610,87852,10/23/2018,570,BROOME STREET,RESIDENTIAL: APARTMENT HOUSES,25,54
450000,40.72768021,-73.79956818,Queens,A1,ALT 1 Enlargement,421519556,4151003,1038,10/23/2018,169-19,75 AVE,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
368520,40.57054138,-73.86448669,Queens,NB,New Building,421093453,4607868,2490,10/24/2018,Feb-40,BEACH 149 STREET,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
8334028,40.62773132,-74.16838074,Staten Island,NB,New Building,520291586,5165127,56311,10/24/2018,2343,FOREST AVENUE,MERCANTILE,2,
740592,40.6287384,-74.16854095,Staten Island,NB,New Building,520305820,5169470,5004,10/24/2018,441,NORTHFIELD AVENUE,MERCANTILE,1,
1350000,40.72644043,-73.97989655,Manhattan,A1,ALT 1 Enlargement,121185948,1004762,8579,10/24/2018,149,AVENUE B,RESIDENTIAL: APARTMENT HOUSES,5,4
2505000,40.7427597,-73.99777985,Manhattan,A1,ALT 1 Enlargement,121186144,1014031,9401,10/24/2018,217,WEST 20TH STREET,RESIDENTIAL: 1 & 2 FAMILY HOUSES,6,1
369740,40.76050186,-73.76225281,Queens,A1,ALT 1 Enlargement,421615559,4160962,2363,10/24/2018,45-27,SPRINGFIELD BLVD,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
3259404,40.76214981,-73.81301117,Queens,NB,New Building,421205555,4454120,22023,10/24/2018,150-15,BARCLAY AVE,BUSINESS,5,
858400,40.82947922,-73.89942169,Bronx,NB,New Building,220629318,2115860,5800,10/24/2018,1225,UNION AVE,RESIDENTIAL: APARTMENT HOUSES,4,8
293632,40.55688095,-73.92073059,Queens,NB,New Building,421667716,4618784,1984,10/25/2018,21,HUDSON WALK,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
605280,40.59920883,-73.97158051,Brooklyn,A1,ALT 1 Enlargement,321628039,3191575,851,10/25/2018,366,AVE T,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,1
788840,40.63407898,-73.97952271,Brooklyn,NB,New Building,321230823,3425779,5330,10/25/2018,1669,42 STREET,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,2
759980,40.6341095,-73.97958374,Brooklyn,NB,New Building,321230841,3425780,5135,10/25/2018,1667,42 STREET,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,2
759980,40.63414001,-73.97963715,Brooklyn,NB,New Building,321696606,3426135,5135,10/25/2018,1665,42 STREET,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,2
769600,40.63417816,-73.97969055,Brooklyn,NB,New Building,321230832,3425782,5200,10/25/2018,1663,42 STREET,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,2
40700,40.75899887,-73.87774658,Queens,NB,New Building,421492575,4034042,275,10/25/2018,31-38,91 STREET,UTILITY / MISCELLANEOUS,1,
1332000,40.78165817,-73.83522797,Queens,NB,New Building,421032821,4607514,9000,10/25/2018,133-05,20 AVENUE,MERCANTILE,1,
603995,40.81811905,-73.9611969,Manhattan,A1,ALT 1 Enlargement,104633069,1076686,1759,10/25/2018,712,WEST  125 STREET,MERCANTILE,1,
132595,40.4993782,-74.23946381,Staten Island,A1,ALT 1 Enlargement,520332499,5087668,299,10/26/2018,675,YETMAN AVE,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,1
217264,40.55688095,-73.92073059,Queens,NB,New Building,421561090,4466340,1468,10/26/2018,39,JAMAICA WALK,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
203944,40.56647873,-73.89112854,Queens,NB,New Building,420951839,4464391,1378,10/26/2018,148,ROXBURY AVENUE,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
222000,40.60367966,-74.09425354,Staten Island,A1,ALT 1 Enlargement,520322696,5021432,1204,10/26/2018,57,SPRING ST,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
615680,40.67535019,-73.86123657,Queens,NB,New Building,420650263,4594310,4160,10/26/2018,107-43,75TH STREET,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
4721644,40.74119949,-73.87783051,Queens,NB,New Building,420300533,4539358,31903,10/26/2018,86-50,DONGAN AVENUE,RESIDENTIAL: APARTMENT HOUSES,6,25
10247224,40.62025833,-73.95581818,Brooklyn,NB,New Building,321153167,3425903,69238,10/29/2018,1704,OCEAN AVENUE,RESIDENTIAL: APARTMENT HOUSES,7,63
1558680,40.63946915,-74.00959015,Brooklyn,A1,ALT 1 Enlargement,320917255,3015103,5836,10/29/2018,673,56 STREET,RESIDENTIAL: APARTMENT HOUSES,5,8
76707,40.66289139,-73.83184814,Queens,A1,ALT 1 Enlargement,421610938,4295223,922,10/29/2018,156-31,102 STREET,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,2
1069596,40.70238113,-73.94555664,Brooklyn,NB,New Building,301129981,3349203,7227,10/29/2018,118,GERRY STREET,RESIDENTIAL 1-2 FAMILY HOUSES,4,2
314200,40.73456955,-73.95607758,Brooklyn,A1,ALT 1 Enlargement,320939188,3063931,2037,10/29/2018,145,FREEMAN STREET,RESIDENTIAL: APARTMENT HOUSES,2,4
1444924,40.84957886,-73.93203735,Manhattan,NB,New Building,122860065,1063664,9763,10/29/2018,553,WEST 182 STREET,RESIDENTIAL: APARTMENT HOUSES,6,8
273208,40.55688095,-73.92073059,Queens,NB,New Building,421549532,4466110,1846,10/30/2018,39,GRAHAM PLACE,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,1
431000,40.59923172,-73.97145844,Brooklyn,A1,ALT 1 Enlargement,321410530,3191576,982,10/30/2018,370,AVENUE T,RESIDENTIAL: APARTMENT HOUSES,2,1
276150,40.60251999,-73.97113037,Brooklyn,A1,ALT 1 Enlargement,321740648,3178536,1351,10/30/2018,40,COLIN PLACE,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,1
340400,40.61128998,-73.77071381,Queens,NB,New Building,402413205,4862539,2300,10/30/2018,1412,POINT BREEZE PLACE,RESIDENTIAL 1-2 FAMILY HOUSES,2,1
1183050,40.64947891,-73.95050049,Brooklyn,A1,ALT 1 Enlargement,321195265,3117324,6917,10/30/2018,156,ERASMUS STREET,RESIDENTIAL: 1 & 2 FAMILY HOUSES,4,10
864140,40.65557098,-73.95953369,Brooklyn,A1,ALT 1 Enlargement,321194024,3115951,2863,10/30/2018,250,PARKSIDE AVENUE,RESIDENTIAL: APARTMENT HOUSES,4,8
424239,40.68029022,-73.94181824,Brooklyn,A1,ALT 1 Enlargement,321605697,3053647,665,10/30/2018,38,DECATUR STREET,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,2
850000,40.70302963,-73.91542053,Brooklyn,A1,ALT 1 Enlargement,321196923,3075199,2258,10/30/2018,452,HARMAN STREET,RESIDENTIAL: APARTMENT HOUSES,4,6
10611600,40.75292969,-73.82752991,Queens,NB,New Building,421082642,4622994,71700,10/30/2018,42-80,MAIN STREET,RESIDENTIAL: APARTMENT HOUSES,7,39
4381688,40.83256912,-73.93083954,Bronx,NB,New Building,220211009,2129181,29606,10/30/2018,979,SUMMIT AVENUE,RESIDENTIAL: APARTMENT HOUSES,7,34
355200,40.58943939,-74.07256317,Staten Island,NB,New Building,520135835,5144463,2400,10/31/2018,85,MC LAUGHLIN STREET,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
573740,40.6388092,-74.0069809,Brooklyn,A1,ALT 1 Enlargement,321778224,3014829,2759,10/31/2018,765,55 STREET,RESIDENTIAL: APARTMENT HOUSES,4,4
1309000,40.64226913,-73.94606781,Brooklyn,A1,ALT 1 Enlargement,321646698,3426663,7963,10/31/2018,1250,NEW YORK AVENUE,RESIDENTIAL: APARTMENT HOUSES,4,10
1300000,40.64234161,-73.94608307,Brooklyn,A1,ALT 1 Enlargement,321646705,3425930,7963,10/31/2018,1248,NEW YORK AVENUE,RESIDENTIAL: APARTMENT HOUSES,4,10
798800,40.68320847,-73.99114227,Brooklyn,A1,ALT 1 Enlargement,321583176,3006578,2623,10/31/2018,99,DOUGLASS ST,RESIDENTIAL: APARTMENT HOUSES,4,3
1991784,40.68524933,-73.9298172,Brooklyn,NB,New Building,321063923,3425530,13458,10/31/2018,228,MALCOLM X BLVD,RESIDENTIAL: APARTMENT HOUSES,6,15
1938800,40.71134186,-73.95857239,Brooklyn,NB,New Building,321542666,3424439,13100,10/31/2018,219,SOUTH 3RD STREET,RESIDENTIAL: APARTMENT HOUSES,6,9
54683336,40.73683167,-73.95909119,Brooklyn,NB,New Building,320627327,3418101,369482,10/31/2018,1,BLUE SLIP,RESIDENTIAL: APARTMENT HOUSES,30,356
246000,40.57901001,-73.96555328,Brooklyn,A1,ALT 1 Enlargement,320912036,3244311,147,11/1/2018,237,OCEANVIEW AVENUE,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,2
421800,40.59963989,-73.76554871,Queens,NB,New Building,421400362,4615184,2850,11/1/2018,29-37,OCEANCREST BLVD,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,1
421800,40.59968185,-73.76548004,Queens,NB,New Building,421400371,4615226,2850,11/1/2018,29-35,OCEANCREST BLVD,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,2
421800,40.59972,-73.76540375,Queens,NB,New Building,421400380,4615224,2850,11/1/2018,29-33,OCEANCREST BLVD,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,2
8279268,40.69705963,-73.93256378,Brooklyn,NB,New Building,321147674,3426440,55941,11/1/2018,668,BUSHWICK AVE,RESIDENTIAL: APARTMENT HOUSES,7,50
2100600,40.70384979,-73.94290161,Brooklyn,A1,ALT 1 Enlargement,321250604,3325956,5567,11/1/2018,65,GRAHAM AVENUE,MERCANTILE,6,8
20052224,40.72549057,-73.9943924,Manhattan,NB,New Building,121190040,1008181,135488,11/1/2018,308,MULBERRY STREET,RESIDENTIAL: APARTMENT HOUSES,12,61
12484096,40.72748184,-73.71105957,Queens,NB,New Building,421087157,4607340,84352,11/1/2018,251-73,JERICHO TURNPIKE,BUSINESS,4,
2448960,40.72932053,-73.98079681,Manhattan,A1,ALT 1 Enlargement,121188231,1005200,7338,11/1/2018,202,AVENUE A,RESIDENTIAL: APARTMENT HOUSES,6,9
13306680,40.7392807,-73.89317322,Queens,NB,New Building,420524515,4541428,89910,11/1/2018,70-26,QUEENS BLVD,RESIDENTIAL: APARTMENT HOUSES,11,69
5182516,40.66217041,-73.99523163,Brooklyn,NB,New Building,320909068,3426424,35017,11/2/2018,194,21ST STREET,RESIDENTIAL: APARTMENT HOUSES,5,26
973303,40.67708969,-73.99751282,Brooklyn,A1,ALT 1 Enlargement,320977190,3008075,4336,11/2/2018,199,LUQUER ST,RESIDENTIAL: APARTMENT HOUSES,4,3
229740,40.67927933,-73.9516983,Brooklyn,A1,ALT 1 Enlargement,320917969,3053921,3924,11/2/2018,11,HERKIMER PLACE,BUSINESS,3,
2722016,40.67956924,-73.9675827,Brooklyn,NB,New Building,320625178,3027918,18392,11/2/2018,653,BERGEN STREET,RESIDENTIAL: APARTMENT HOUSES,8,7
4796236,40.68796921,-73.95139313,Brooklyn,NB,New Building,320623303,3426326,32407,11/2/2018,348,NOSTRAND AVE,RESIDENTIAL: APARTMENT HOUSES,7,28
74917008,40.69976044,-73.93345642,Brooklyn,NB,New Building,320717140,3426367,506196,11/2/2018,123,MELROSE STREET,RESIDENTIAL: APARTMENT HOUSES,9,468
2468500,40.71228027,-73.95184326,Brooklyn,A1,ALT 1 Enlargement,321148619,3062551,8200,11/2/2018,80,AINSLIE STREET,RESIDENTIAL: APARTMENT HOUSES,5,16
344740,40.71437836,-73.83409882,Queens,A1,ALT 1 Enlargement,421437751,4079968,1674,11/2/2018,111-22,77 ROAD,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
1433380,40.71903992,-73.94712067,Brooklyn,NB,New Building,321082788,3067908,9685,11/2/2018,417,MANHATTAN AVENUE,RESIDENTIAL: APARTMENT HOUSES,5,10
574240,40.74348068,-73.83096313,Queens,NB,New Building,421359531,4315231,3880,11/2/2018,134-22,60 AVENUE,RESIDENTIAL: APARTMENT HOUSES,3,3
500550,40.74848175,-73.78032684,Queens,A1,ALT 1 Enlargement,421479108,4158429,1943,11/2/2018,197-23,53 AVENUE,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
1062640,40.75531006,-73.8345871,Queens,NB,New Building,421395822,4114977,7180,11/2/2018,41-16,HAIGHT STREET,RESIDENTIAL: APARTMENT HOUSES,4,3
1555628,40.76301956,-73.91713715,Queens,NB,New Building,421513927,4010601,10511,11/2/2018,30-54,38TH STREET,RESIDENTIAL: APARTMENT HOUSES,5,10
1551484,40.76390076,-73.92569733,Queens,NB,New Building,421572818,4007479,10483,11/2/2018,31-41,29TH STREET,RESIDENTIAL: APARTMENT HOUSES,6,10
1994485,40.79671097,-73.93860626,Manhattan,A1,ALT 1 Enlargement,122742835,1052559,10658,11/2/2018,245,EAST 115TH STREET,RESIDENTIAL: APARTMENT HOUSES,8,13
4420020,40.84970093,-73.94016266,Manhattan,NB,New Building,122238248,1090828,29865,11/2/2018,40,PINEHURST AVENUE,RESIDENTIAL: APARTMENT HOUSES,8,24
567050,40.61009979,-73.90515137,Brooklyn,A1,ALT 1 Enlargement,321533122,3243314,1145,11/5/2018,50,BARLOW DRIVE NORTH,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,1
197125,40.61420059,-73.96642303,Brooklyn,A1,ALT 1 Enlargement,321200632,3173872,1317,11/5/2018,1428,EAST 8TH ST,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,1
503052,40.62704086,-73.96891022,Brooklyn,NB,New Building,321532285,3170504,3399,11/5/2018,719,AVENUE I,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,1
3504640,40.67736816,-73.92151642,Brooklyn,NB,New Building,320911340,3825231,23680,11/5/2018,343,RALPH AVE,RESIDENTIAL: APARTMENT HOUSES,8,20
1090464,40.6866188,-73.95052338,Brooklyn,NB,New Building,320622661,3426266,7368,11/5/2018,341,NOSTRAND AVENUE,RESIDENTIAL: APARTMENT HOUSES,4,5
1090168,40.68667984,-73.95053864,Brooklyn,NB,New Building,320622643,3426267,7366,11/5/2018,339,NOSTRAND AVENUE,RESIDENTIAL: APARTMENT HOUSES,4,5
9754680,40.75138092,-73.82556152,Queens,NB,New Building,402635403,4864183,65910,11/5/2018,137-35,ELDER AVENUE,RESIDENTIAL APT HOUSE,7,41
514430,40.73421097,-73.98216248,Manhattan,A1,ALT 1 Enlargement,120153314,1020451,938,11/6/2018,322,EAST 18 STREET,RESIDENTIAL: 1 & 2 FAMILY HOUSES,5,1
145000,40.54478073,-74.14949036,Staten Island,A1,ALT 1 Enlargement,520133187,5066732,979,11/7/2018,20,EDGEWOOD ROAD,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
60384,40.60684967,-73.96875763,Brooklyn,NB,New Building,321735048,3384715,408,11/7/2018,464GAR,QUENTIN ROAD,UTILITY / MISCELLANEOUS,1,
10208892,40.65779877,-73.86776733,Brooklyn,NB,New Building,321193178,3424571,68979,11/7/2018,702,VANDALIA AVENUE,RESIDENTIAL: APARTMENT HOUSES,9,65
4500000,40.67515945,-73.95947266,Brooklyn,A1,ALT 1 Enlargement,300608288,3330782,1753,11/7/2018,520,PROSPECT PLACE,INSTITUTIONAL (INCAPACITATED),5,
800000,40.70418167,-73.95423126,Brooklyn,A1,ALT 1 Enlargement,321776440,3060920,0,11/7/2018,247,RUTLEDGE STREET,RESIDENTIAL: 1 & 2 FAMILY HOUSES,4,1
802104,40.70542145,-73.95738983,Brooklyn,A1,ALT 1 Enlargement,321660555,3060200,2232,11/7/2018,218,KEAP STREET,RESIDENTIAL: APARTMENT HOUSES,4,3
3526988,40.71694183,-73.99519348,Manhattan,NB,New Building,121537505,1089236,23831,11/7/2018,89,BOWERY,MERCANTILE,9,
200000,40.71915817,-74.00948334,Manhattan,A1,ALT 1 Enlargement,110348464,1002076,1367,11/7/2018,177,FRANKLIN STREET,BUSINESS,7,1
753000,40.72447968,-73.94690704,Brooklyn,A1,ALT 1 Enlargement,320950137,3066966,0,11/7/2018,58,NEWELL STREET,RESIDENTIAL: APARTMENT HOUSES,4,7
18035132,40.75511932,-73.99751282,Manhattan,NB,New Building,121659400,1090717,121859,11/7/2018,445,WEST 35 STREET,RESIDENTIAL: APARTMENT HOUSES,12,118
12578224,40.76165009,-73.96199799,Manhattan,NB,New Building,121189846,1090704,84988,11/7/2018,328,EAST 62ND STREET,BUSINESS,7,
257060,40.77022171,-73.91464996,Queens,A1,ALT 1 Enlargement,421572569,4017308,0,11/7/2018,33-29,ASTORIA BLVD NORTH,ASSEMBLY: EATING & DRINKING,3,2
13948556,40.82204056,-73.92427063,Bronx,NB,New Building,220152634,2833311,94247,11/7/2018,707,CONCOURSE VILLAGE WEST,RESIDENTIAL: APARTMENT HOUSES,11,94
14969756,40.82287979,-73.92378235,Bronx,NB,New Building,220152643,2129230,101147,11/7/2018,180,EAST 156TH STREET,RESIDENTIAL: APARTMENT HOUSES,10,114
49722080,40.84791946,-73.90010071,Bronx,NB,New Building,220157700,2128937,335960,11/7/2018,4215,PARK AVENUE,RESIDENTIAL: APARTMENT HOUSES,12,256
6407068,40.85012054,-73.90411377,Bronx,NB,New Building,220546620,2128505,43291,11/7/2018,220,EAST 178 STREET,RESIDENTIAL: APARTMENT HOUSES,12,52
739704,40.60261154,-73.95391846,Brooklyn,NB,New Building,321244505,3425455,4998,11/8/2018,1945,EAST 18 STREET,RESIDENTIAL: APARTMENT HOUSES,3,3
739704,40.60261154,-73.95391846,Brooklyn,NB,New Building,321244514,3421498,4998,11/8/2018,1947,EAST 18TH STREET,RESIDENTIAL: APARTMENT HOUSES,3,3
1059088,40.60684967,-73.96875763,Brooklyn,NB,New Building,321360745,3253613,7156,11/8/2018,464,QUENTIN ROAD,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
1630368,40.62057877,-73.96762085,Brooklyn,NB,New Building,320984119,3425359,11016,11/8/2018,1170,EAST 8TH STREET,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,1
12020856,40.65380096,-73.86630249,Brooklyn,NB,New Building,321195050,3421879,81222,11/8/2018,11629,SEAVIEW AVENUE,RESIDENTIAL: APARTMENT HOUSES,6,65
45667324,40.65396118,-73.86679077,Brooklyn,NB,New Building,321195096,3421880,308563,11/8/2018,911,ERSKINE STREET,RESIDENTIAL: APARTMENT HOUSES,9,267
23539400,40.67520142,-73.89626312,Brooklyn,NB,New Building,320622894,3326728,159050,11/8/2018,101,PENNSYLVANIA AVENUE,BUSINESS,7,
2680724,40.68006134,-73.93904877,Brooklyn,NB,New Building,321242204,3329705,18113,11/8/2018,1557,FULTON ST,RESIDENTIAL: APARTMENT HOUSES,7,23
10745392,40.68967819,-73.99642944,Brooklyn,NB,New Building,321189593,3426616,72604,11/8/2018,347,HENRY STREET,RESIDENTIAL: APARTMENT HOUSES,15,25
170000,40.69775009,-73.9348526,Brooklyn,A1,ALT 1 Enlargement,301782854,3072017,1130,11/8/2018,23,JEFFERSON STREET,RESID. BLDG - OLD CODE,4,8
566840,40.70429993,-73.90048981,Queens,NB,New Building,421381392,4434334,3830,11/8/2018,67-16,60TH STREET,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,2
202800,40.70476151,-73.91605377,Brooklyn,A1,ALT 1 Enlargement,320595922,3074608,2330,11/8/2018,390,STANHOPE STREET,RESIDENTIAL: APARTMENT HOUSES,4,3
795056,40.73165131,-73.87568665,Queens,NB,New Building,421051293,4065471,5372,11/8/2018,85-18,57 ROAD,RESIDENTIAL: APARTMENT HOUSES,3,4
24525228,40.7554512,-73.83740997,Queens,NB,New Building,421374845,4614966,165711,11/8/2018,131-02,40 ROAD,RESIDENTIAL: APARTMENT HOUSES,20,162
34596480,40.7554512,-73.83740997,Queens,NB,New Building,421374881,4614966,233760,11/8/2018,131-02,40 ROAD,RESIDENTIAL: APARTMENT HOUSES,20,168
47180624,40.7554512,-73.83740997,Queens,NB,New Building,421405642,4614966,318788,11/8/2018,131-02,40 ROAD,"RESIDENTIAL: HOTELS, DORMITORIES",19,469
244000,40.76216125,-73.76088715,Queens,A1,ALT 1 Enlargement,421430035,4138720,2696,11/8/2018,43-23,220 PLACE,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,2
457912,40.55688095,-73.92073059,Queens,NB,New Building,421624013,4466867,3094,11/9/2018,117,BEACH 217 STREET,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
363600,40.56866074,-73.86300659,Queens,A1,ALT 1 Enlargement,421344478,4307076,1895,11/9/2018,171,BEACH 148 STREET,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
449500,40.57643127,-73.84996033,Queens,A1,ALT 1 Enlargement,421655881,4305822,676,11/9/2018,240,BEACH 131 STREET,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,1
725560,40.60155869,-73.95477295,Brooklyn,A1,ALT 1 Enlargement,321271422,3320760,2036,11/9/2018,1703,AVENUE T,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,1
739837,40.63370895,-73.97164154,Brooklyn,A1,ALT 1 Enlargement,320422459,3127240,3130,11/9/2018,605,OCEAN PARKWAY,ASSEMBLY: OTHER,3,1
19445128,40.65592957,-73.86779022,Brooklyn,NB,New Building,321193301,3424570,131386,11/9/2018,881,ERSKINE STREET,RESIDENTIAL: APARTMENT HOUSES,9,144
1090168,40.68672943,-73.95054626,Brooklyn,NB,New Building,320622670,3426268,7366,11/9/2018,337,NOSTRAND AVENUE,RESIDENTIAL: APARTMENT HOUSES,4,5
8163384,40.70151901,-73.94117737,Brooklyn,NB,New Building,320912358,3395434,55158,11/9/2018,40,DEBEVOISE STREET,RESIDENTIAL: APARTMENT HOUSES,8,65
